,dumb,regular
input6.txt,29.1443359375,29.547900390625
input17.txt,27.164306640625,27.1896484375
input10.txt,28.230712890625,27.443017578125
input3.txt,26.401318359375,26.593115234375
input22.txt,254.92783203125,680.30908203125
input23.txt,8853.98662109375,44.681103515625
input8.txt,97.8486328125,131.32763671875
input13.txt,28.80419921875,28.087744140625
input19.txt,27.059423828125,27.114306640625
input9.txt,26.288232421875,26.303466796875
input7.txt,27.243505859375,27.0091796875
input12.txt,28.143994140625,27.556396484375
input18.txt,29.356396484375,29.592919921875
input5.txt,88.071337890625,84.4275390625
input1.txt,26.185400390625,26.18603515625
input2.txt,26.217236328125,26.31845703125
input16.txt,26.909912109375,26.94697265625
input4.txt,28.580517578125,28.682177734375
input14.txt,27.055712890625,26.870849609375
input21.txt,27.626123046875,27.078271484375
input11.txt,30.78681640625,27.73603515625
input20.txt,28.693603515625,27.381298828125
