,dumb,regular
input6.txt,27.41748046875,28.754638671875
input17.txt,24.556640625,24.88916015625
input10.txt,24.680419921875,25.971435546875
input3.txt,24.090087890625,24.075439453125
input22.txt,532.901123046875,52.96044921875
input23.txt,41.47509765625,41.089111328125
input24.txt,77.890625,77.669189453125
input8.txt,42.255859375,44.47021484375
input13.txt,25.706787109375,25.5078125
input19.txt,24.5576171875,24.42578125
input9.txt,23.77978515625,24.582763671875
input7.txt,24.3359375,24.267822265625
input12.txt,24.822998046875,24.8173828125
input18.txt,25.995849609375,26.132080078125
input5.txt,81.626708984375,82.46142578125
input1.txt,23.55712890625,23.523193359375
input2.txt,23.6796875,23.56005859375
input16.txt,24.38232421875,24.4248046875
input4.txt,25.69287109375,25.863525390625
input14.txt,24.229736328125,24.139892578125
input21.txt,24.437255859375,24.169189453125
input11.txt,25.095458984375,25.12109375
input20.txt,24.2333984375,24.28125
