,dumb,regular
input6.txt,29.52783203125,30.40068359375
input17.txt,27.236865234375,27.178857421875
input10.txt,27.50126953125,27.4369140625
input3.txt,26.641943359375,26.79287109375
input22.txt,104.6162109375,530.67880859375
input23.txt,10851.737353515626,44.241064453125
input8.txt,155.4005859375,58.984521484375
input13.txt,28.398681640625,28.447119140625
input19.txt,27.106884765625,26.97080078125
input9.txt,26.635009765625,26.38837890625
input7.txt,28.799853515625,28.09091796875
input12.txt,27.9962890625,28.6173828125
input18.txt,29.525537109375,29.949169921875
input5.txt,89.268408203125,86.885498046875
input1.txt,27.861328125,27.00263671875
input2.txt,27.104931640625,27.12939453125
input16.txt,27.08525390625,27.19140625
input4.txt,29.218701171875,28.476123046875
input14.txt,27.073388671875,26.85537109375
input21.txt,28.814697265625,27.044775390625
input11.txt,30.952783203125,30.912109375
input20.txt,28.4634765625,31.2501953125
